authorName;bookTitle;links;avg_rating;ratings;published;edition;rank
Darrell Huff;How to Lie with Statistics;https://www.goodreads.com/book/show/51291.How_to_Lie_with_Statistics;3,85;13920;1954;50;1
Charles Wheelan;Naked Statistics: Stripping the Dread from the Data;https://www.goodreads.com/book/show/17986418-naked-statistics;3,95;12106;2012;20;2
David Spiegelhalter;The Art of Statistics: How to Learn from Data;https://www.goodreads.com/book/show/43722897-the-art-of-statistics;4,18;3118;2019;20;3
Tim Harford;The Data Detective: Ten Easy Rules to Make Sense of Statistics;https://www.goodreads.com/book/show/53605067-the-data-detective;4,15;4001;2020;18;4
Paul Kleinman;Psych 101: Psychology Facts, Basics, Statistics, Tests, and More!;https://www.goodreads.com/book/show/14618921-psych-101;4,00;2226;2012;5;5
David Salsburg;The Lady Tasting Tea: How Statistics Revolutionized Science in the Twentieth Century;https://www.goodreads.com/book/show/106350.The_Lady_Tasting_Tea;3,91;1611;2001;8;6
Kaiser Fung;Numbers Rule Your World: The Hidden Influence of Probabilities and Statistics on Everything You Do;https://www.goodreads.com/book/show/6633968-numbers-rule-your-world;3,57;1177;2010;5;7
Larry Gonick;The Cartoon Guide to Statistics;https://www.goodreads.com/book/show/168872.The_Cartoon_Guide_to_Statistics;3,88;1391;1993;14;8
Sandeep Garg;Statistics for Economics, Class XI;https://www.goodreads.com/book/show/26158596-statistics-for-economics-class-xi;3,81;309;NA;1;9
Nathan Yau;Visualize This: The FlowingData Guide to Design, Visualization, and Statistics;https://www.goodreads.com/book/show/11054622-visualize-this;3,89;1146;2011;12;10
Alex Reinhart;Statistics Done Wrong: The Woefully Complete Guide;https://www.goodreads.com/book/show/23241062-statistics-done-wrong;4,18;944;2013;7;11
M.G. Bulmer;Principles of Statistics;https://www.goodreads.com/book/show/340019.Principles_of_Statistics;3,98;1395;2012;4;12
T.R. Jain;Statistics for Economics - Class XI;https://www.goodreads.com/book/show/25718787-statistics-for-economics---class-xi;3,71;332;NA;4;13
Alan Schwarz;The Numbers Game: Baseball's Lifelong Fascination with Statistics;https://www.goodreads.com/book/show/225819.The_Numbers_Game;3,98;1160;2004;4;14
S.C. Gupta;Fundamentals of Mathematical Statistics;https://www.goodreads.com/book/show/26631508-fundamentals-of-mathematical-statistics;3,85;215;NA;3;15
T. Veerarajan;Probability, Statistics And Random Processes;https://www.goodreads.com/book/show/8426802-probability-statistics-and-random-processes;3,98;239;NA;2;16
Peter Bruce;Practical Statistics for Data Scientists: 50 Essential Concepts;https://www.goodreads.com/book/show/28646693-practical-statistics-for-data-scientists;4,01;401;NA;8;17
S.C. Gupta;Fundamental of Applied Statistics;https://www.goodreads.com/book/show/22317464-fundamental-of-applied-statistics;3,67;222;NA;2;18
J.K. Thukral;Business Mathematics and Statistics;https://www.goodreads.com/book/show/23796668-business-mathematics-and-statistics;4,01;114;2014;1;19
Suresh K. Sharma;Nursing Research & Statistics;https://www.goodreads.com/book/show/36233541-nursing-research-statistics;3,84;161;NA;7;20
Richard I. Levin;Statistics for Management;https://www.goodreads.com/book/show/486375.Statistics_for_Management;4,08;227;1978;17;21
Larry Wasserman;All of Statistics: A Concise Course in Statistical Inference;https://www.goodreads.com/book/show/411722.All_of_Statistics;4,22;314;2003;10;22
Eileen Magnello;Introducing Statistics: A Graphic Guide;https://www.goodreads.com/book/show/23252375-introducing-statistics;3,40;327;2005;6;23
goldenmaknae5620;Introduction to Statistics—Student Study Guide;https://www.goodreads.com/book/show/1579048.Introduction_to_Statistics_Student_Study_Guide;3,91;141;NA;1;24
Will Kurt;Bayesian Statistics the Fun Way: Understanding Statistics and Probability with Star Wars, Lego, and Rubber Ducks;https://www.goodreads.com/book/show/41392893-bayesian-statistics-the-fun-way;4,16;276;NA;3;25
Jay L. Devore;Student Solutions Manual for Devore's Probability and Statistics for Engineering and Science, 8th;https://www.goodreads.com/book/show/12489227-student-solutions-manual-for-devore-s-probability-and-statistics-for-eng;4,06;134;1995;5;26
